first_name,last_name,username,email,phone_number,role
Adaeze,Okonkwo,adaeze.okonkwo,adaeze.okonkwo@gmail.com,080325360060,TEACHER
Emeka,Okafor,emeka.okafor,emeka.okafor@gmail.com,080398586960,TEACHER
Funke,Adeyemi,funke.adeyemi,funke.adeyemi@gmail.com,080323746093,TEACHER
Tunde,Bakare,tunde.bakare,tunde.bakare@gmail.com,080397056747,TEACHER
Ngozi,Eze,ngozi.eze,ngozi.eze@gmail.com,080398236009,TEACHER
Samuel,Adebayo,samuel.adebayo,samuel.adebayo@gmail.com,080384025425,TEACHER
Grace,Obi,grace.obi,grace.obi@gmail.com,080311354318,TEACHER
Chinedu,Nwosu,chinedu.nwosu,chinedu.nwosu@gmail.com,080324819091,TEACHER
Ibrahim,Musa,ibrahim.musa,ibrahim.musa@gmail.com,080327543956,TEACHER
Fatima,Bello,fatima.bello,fatima.bello@gmail.com,080318225646,TEACHER
Kayode,Ogunleye,kayode.ogunleye,kayode.ogunleye@gmail.com,080363526984,TEACHER
Daniel,Umeh,daniel.umeh,daniel.umeh@gmail.com,080374219689,TEACHER
Yemi,Alabi,yemi.alabi,yemi.alabi@gmail.com,080365983360,TEACHER
Tobi,Adewale,tobi.adewale,tobi.adewale@gmail.com,080378616569,TEACHER
Chiamaka,Anya,chiamaka.anya,chiamaka.anya@gmail.com,080325710873,TEACHER
Bola,Akinwunmi,bola.akinwunmi,bola.akinwunmi@gmail.com,080329352468,TEACHER
Sarah,Eno,sarah.eno,sarah.eno@gmail.com,080394900991,TEACHER
Peter,Obiadi,peter.obiadi,peter.obiadi@gmail.com,080357674700,TEACHER
Helen,Ogundipe,helen.ogundipe,helen.ogundipe@gmail.com,080339687556,TEACHER
Femi,Ajayi,femi.ajayi,femi.ajayi@gmail.com,080350415056,TEACHER
Uche,Ibe,uche.ibe,uche.ibe@gmail.com,080366099226,TEACHER
Joseph,Adeleke,joseph.adeleke,joseph.adeleke@gmail.com,080387083634,TEACHER
Ronke,Oyelaran,ronke.oyelaran,ronke.oyelaran@gmail.com,080326690306,TEACHER
Dele,Osun,dele.osun,dele.osun@gmail.com,080398362688,TEACHER
Kola,Osho,kola.osho,kola.osho@gmail.com,080327137754,TEACHER
Amaka,Uzo,amaka.uzo,amaka.uzo@gmail.com,080398238128,TEACHER
Bayo,Fashola,bayo.fashola,bayo.fashola@gmail.com,080378802211,TEACHER
Chioma,Nnamdi,chioma.nnamdi,chioma.nnamdi@gmail.com,080357045862,TEACHER
Segun,Balogun,segun.balogun,segun.balogun@gmail.com,080388605863,TEACHER
Bose,Kuti,bose.kuti,bose.kuti@gmail.com,080390425740,TEACHER
Olu,Falade,olu.falade,olu.falade@gmail.com,080342164241,TEACHER
Rita,Okafor,rita.okafor,rita.okafor@gmail.com,080318778116,TEACHER
John,Adeosun,john.adeosun,john.adeosun@gmail.com,080327204296,TEACHER
Dorcas,Eri,dorcas.eri,dorcas.eri@gmail.com,080382389286,TEACHER
Wale,Ojo,wale.ojo,wale.ojo@gmail.com,080383840762,TEACHER
Bisi,Lawal,bisi.lawal,bisi.lawal@gmail.com,080327663770,TEACHER
Hamza,Suleiman,hamza.suleiman,hamza.suleiman@gmail.com,080389154190,TEACHER
Ify,Egbuna,ify.egbuna,ify.egbuna@gmail.com,080359391819,TEACHER
Lanre,Fagbemi,lanre.fagbemi,lanre.fagbemi@gmail.com,080375161129,TEACHER
Kemi,Adeola,kemi.adeola,kemi.adeola@gmail.com,080398420478,TEACHER
