first_name,last_name,username,date_of_birth,gender,class_name,parent_name,parent_email,parent_phone
Dare,Adeleke,dare.adeleke,2019-04-10,MALE,Basic 1,Mr Adeleke,parent.dare.adeleke.adeleke@gmail.com,080350155640
Faith,Maduka,faith.maduka,2019-09-16,FEMALE,Basic 1,Mrs Maduka,parent.faith.maduka.maduka@gmail.com,080363352718
Maryam,Amaechi,maryam.amaechi,2019-07-18,FEMALE,Basic 1,Mrs Amaechi,parent.maryam.amaechi.amaechi@gmail.com,080314866552
Chioma,Eri,chioma.eri,2019-12-23,FEMALE,Basic 1,Mrs Eri,parent.chioma.eri.eri@gmail.com,080394342466
Kosisochukwu,Adewale,kosisochukwu.adewale,2019-02-21,FEMALE,Basic 1,Mrs Adewale,parent.kosisochukwu.adewale.adewale@gmail.com,080358362112
Funke,Osagie,funke.osagie,2019-03-15,FEMALE,Basic 1,Mrs Osagie,parent.funke.osagie.osagie@gmail.com,080311546333
Ruth,Ezeugwu,ruth.ezeugwu,2018-10-26,FEMALE,Basic 1,Mrs Ezeugwu,parent.ruth.ezeugwu.ezeugwu@gmail.com,080344158025
Chiamaka,Osuji,chiamaka.osuji,2019-11-25,FEMALE,Basic 1,Mrs Osuji,parent.chiamaka.osuji.osuji@gmail.com,080362596457
Joy,Imoh,joy.imoh,2019-12-24,FEMALE,Basic 1,Mrs Imoh,parent.joy.imoh.imoh@gmail.com,080339157065
Ruth,Adeleke,ruth.adeleke,2019-02-14,FEMALE,Basic 1,Mrs Adeleke,parent.ruth.adeleke.adeleke@gmail.com,080332270731
Daniel,Abubakar,daniel.abubakar,2019-07-26,MALE,Basic 1,Mr Abubakar,parent.daniel.abubakar.abubakar@gmail.com,080338724671
Kolawole,Okafor,kolawole.okafor,2018-07-03,MALE,Basic 1,Mr Okafor,parent.kolawole.okafor.okafor@gmail.com,080315821993
Chima,Eze,chima.eze,2018-09-16,MALE,Basic 1,Mr Eze,parent.chima.eze.eze@gmail.com,080365094766
Ogechi,Chukwu,ogechi.chukwu,2019-10-20,FEMALE,Basic 1,Mrs Chukwu,parent.ogechi.chukwu.chukwu@gmail.com,080332581855
Tunde,Ajagbe,tunde.ajagbe,2019-08-20,MALE,Basic 1,Mr Ajagbe,parent.tunde.ajagbe.ajagbe@gmail.com,080341166158
Ikenna,Ogunleye,ikenna.ogunleye,2018-01-21,MALE,Basic 1,Mr Ogunleye,parent.ikenna.ogunleye.ogunleye@gmail.com,080390808451
Victoria,Nwogbo,victoria.nwogbo,2018-08-23,FEMALE,Basic 1,Mrs Nwogbo,parent.victoria.nwogbo.nwogbo@gmail.com,080312166605
Tunde,Umeadi,tunde.umeadi,2018-03-22,MALE,Basic 1,Mr Umeadi,parent.tunde.umeadi.umeadi@gmail.com,080336542635
Halima,Adepoju,halima.adepoju,2018-07-10,FEMALE,Basic 1,Mrs Adepoju,parent.halima.adepoju.adepoju@gmail.com,080335772469
Hauwa,Chukwu,hauwa.chukwu,2019-05-15,FEMALE,Basic 1,Mrs Chukwu,parent.hauwa.chukwu.chukwu@gmail.com,080335465836
Suleiman,Ajayi,suleiman.ajayi,2019-02-28,MALE,Basic 1,Mr Ajayi,parent.suleiman.ajayi.ajayi@gmail.com,080343881154
Ifeoma,Akintola,ifeoma.akintola,2019-07-18,FEMALE,Basic 1,Mrs Akintola,parent.ifeoma.akintola.akintola@gmail.com,080330456084
Ezinne,Adesina,ezinne.adesina,2018-02-20,FEMALE,Basic 1,Mrs Adesina,parent.ezinne.adesina.adesina@gmail.com,080359324772
Sunday,Bakare,sunday.bakare,2019-10-09,MALE,Basic 1,Mr Bakare,parent.sunday.bakare.bakare@gmail.com,080392224963
Simisola,Eri,simisola.eri,2019-03-04,FEMALE,Basic 1,Mrs Eri,parent.simisola.eri.eri@gmail.com,080315976939
Onyekachi,Nwogbo,onyekachi.nwogbo,2018-09-11,MALE,Basic 1,Mr Nwogbo,parent.onyekachi.nwogbo.nwogbo@gmail.com,080359866824
Ayodeji,Abdullahi,ayodeji.abdullahi,2018-05-09,MALE,Basic 1,Mr Abdullahi,parent.ayodeji.abdullahi.abdullahi@gmail.com,080320232708
Amara,Suleiman,amara.suleiman,2019-01-02,FEMALE,Basic 1,Mrs Suleiman,parent.amara.suleiman.suleiman@gmail.com,080323946427
Ogechi,Eri,ogechi.eri,2019-06-25,FEMALE,Basic 1,Mrs Eri,parent.ogechi.eri.eri@gmail.com,080380637716
Tobi,Mba,tobi.mba,2018-10-15,MALE,Basic 1,Mr Mba,parent.tobi.mba.mba@gmail.com,080372003874
Yusuf,Okeke,yusuf.okeke,2019-07-10,MALE,Basic 1,Mr Okeke,parent.yusuf.okeke.okeke@gmail.com,080360966882
Abubakar,Eze,abubakar.eze,2019-12-11,MALE,Basic 1,Mr Eze,parent.abubakar.eze.eze@gmail.com,080352052109
Aisha,Abdullahi,aisha.abdullahi,2018-09-11,FEMALE,Basic 1,Mrs Abdullahi,parent.aisha.abdullahi.abdullahi@gmail.com,080349409717
Ogechi,Balogun,ogechi.balogun,2018-02-02,FEMALE,Basic 1,Mrs Balogun,parent.ogechi.balogun.balogun@gmail.com,080338767502
Faith,Obiagwu,faith.obiagwu,2019-01-14,FEMALE,Basic 1,Mrs Obiagwu,parent.faith.obiagwu.obiagwu@gmail.com,080335972209
Yetunde,Ojo,yetunde.ojo,2019-11-08,FEMALE,Basic 1,Mrs Ojo,parent.yetunde.ojo.ojo@gmail.com,080333078067
John,Omojola,john.omojola,2019-05-26,MALE,Basic 1,Mr Omojola,parent.john.omojola.omojola@gmail.com,080333829496
Temitope,Ezeugwu,temitope.ezeugwu,2018-07-09,FEMALE,Basic 2,Mrs Ezeugwu,parent.temitope.ezeugwu.ezeugwu@gmail.com,080362326285
Daniel,Uzo,daniel.uzo,2017-09-02,MALE,Basic 2,Mr Uzo,parent.daniel.uzo.uzo@gmail.com,080394449700
Rukaiya,Osuji,rukaiya.osuji,2018-01-22,FEMALE,Basic 2,Mrs Osuji,parent.rukaiya.osuji.osuji@gmail.com,080314073617
